Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
◇ crisa,,,VI,,,zuvalu ,,,,,,,
◇ critu,,,VI,,,fuwoze ,,,,,,,
◇ cukta,,,VI,,,vijutu ,,,,,,,
◇ curmi,,,VT,,,funeha ,,,,,,,
◇ curnu,,,VI,,,vamope ,,,,,,,
◇ cusku,,,VD,,,daraki 132,,,,,,,
◇ danlu,,,VI,,,ziwayu ,,,,,,,
◇ daplu,,,VI_fi,,,pufude ,,,,,,,
◇ daplu,,,VI,,,pupima ,,,,,,,
◇ degji,,,VI,,,fenube ,,,,,,,
◇ dertu,,,VI,,,zorace ,,,,,,,
◇ dilnu,,,VI,,,noneyi ,,,,,,,
◇ donri,,,VI,,,hoqeno ,,,,,,,
◇ dunda,,,VD,,,behucu 132,,,,,,,
◇ dunra,,,VI,,,wenina ,,,,,,,
◇ facki,,,VT,,,pecoce ,,,,,,,
◇ fagri,,,VI,,,jaqare ,,,,,,,
◇ finti,,,VT,,,memoku ,,,,,,,
◇ fipybirka,,,VI,,,hativu ,,,,,,,
◇ frati,,,VD,,,kuhequ 132,,,,,,,
◇ gapci,,,VI,,,vekawi ,,,,,,,
◇ gunta,,,VT,,,vutiko ,,,,,,,
◇ jangulu,,,VI,,,voqibu ,,,,,,,
◇ jbobau,,,VI,,,biwiwa ,,,,,,,
◇ jinvi,,,VT,,,hocobo ,,,,,,,
◇ jubme,,,VI,,,yohaye ,,,,,,,
◇ kabri,,,VI,,,qeveva ,,,,,,,
◇ kanro,,,VI,,,bebera ,,,,,,,
◇ karda,,,VI,,,teruki ,,,,,,,
◇ klaku,,,VT,,,vigofo ,,,,,,,
◇ klesi,,,VT,,,fukepa ,,,,,,,
◇ krici,,,VT,,,yigiso ,,,,,,,
◇ kuldi’u,,,VI,,,favote ,,,,,,,
◇ lalxu,,,VI,,,watanu ,,,,,,,
◇ lastu,,,VI,,,zisawi ,,,,,,,
◇ lindi,,,VI,,,kalice ,,,,,,,
◇ litki,,,VI,,,jigota ,,,,,,,
◇ marce,,,VI,,,tuhoyo ,,,,,,,
◇ mikce,,,VT,,,fonigo ,,,,,,,
◇ minji,,,VI,,,zabuqo ,,,,,,,
◇ mruli,,,VI,,,takupe ,,,,,,,
◇ pamsa'e,,,VT,,,gunoqo ,,,,,,,
◇ pinxe,,,VT,,,cewide ,,,,,,,
◇ plasimi,,,VI,,,qudoje ,,,,,,,
◇ preti,,,VI_fi_fo,,,cizobi 312,,,,,,,
◇ pupsu,,,VT,,,susowu ,,,,,,,
◇ rafsi,,,VT_fo,,,takuqu 321,,,,,,,
◇ remsmi,,,VI,,,suculu ,,,,,,,
◇ ricfoi,,,VI,,,suhiwe ,,,,,,,
◇ rinsa,,,VT,,,cabuvi ,,,,,,,
◇ rirxe,,,VI,,,fujofa ,,,,,,,
◇ sampla,,,VT,,,kaqesi ,,,,,,,
◇ sanli,,,VT,,,tugivo ,,,,,,,
◇ simlu,,,VD,,,zogelu ,,,,,,,
◇ skami,,,VI,,,futeyu ,,,,,,,
◇ sligu,,,VI,,,qopusi ,,,,,,,
◇ sputu,,,VT,,,yegara ,,,,,,,
◇ stela,,,VI,,,fukugu ,,,,,,,
◇ sunla,,,VI,,,gacafe ,,,,,,,
◇ tanbargu,,,VI,,,vafewi ,,,,,,,
◇ tanxe,,,VI,,,meluyo ,,,,,,,
◇ tarbi,,,VI,,,kiboku ,,,,,,,
◇ tarbyvau,,,VT,,,gayinu ,,,,,,,
◇ tovla,,,VI,,,vafewi ,,,,,,,
◇ tsani,,,VI,,,zayawa ,,,,,,,
◇ varkiclaflo'i,,,VI,,,zulaku ,,,,,,,
◇ vensa,,,VI,,,detuto ,,,,,,,
◇ vinji,,,VI,,,weyake ,,,,,,,
◇ xajmi,,,VT,,,zodala 21,,,,,,,
◇ zgana,,,VT,,,kiwoda ,,,,,,,
◇ zgike,,,VI,,,tatazu ,,,,,,,
◇rinka,,,VT,,,semuba ,,,,,,,
⚙:jo'u,,,,,,dahira ,,,,,,,
"➋,",,,,,,moqubi fusra,,,,,,,
