Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
kenon,,,VI,,,dalibe ,,,,,,,
kere,,,VI_va_fo,,,juhebi ,,,,,,,
ketmi,,,VT_P0,,,lusene ,,,,,,,
kin,,,VD,,,sigufi ,,,,,,,
kineo,,,VT,,,jepeno ,,,,,,,
kirun,,,VI,,,zejeti ,,,,,,,
kitmi,,,VT_P0,,,fugidu ,,,,,,,
kora,,,VUA,,,qumudu ,,,,,,,
kora,,,VT,,,mitofo ,,,,,,,
kori,,,VT_P0,,,direni ,,,,,,,
kotmi,,,VT_P0,,,muyete ,,,,,,,
kouli,,,VT_P0,,,sejuso ,,,,,,,
krei,,,VT_P0,,,royuvi ,,,,,,,
kroan,,,VI,,,buwuvu ,,,,,,,
ksai,,,VT_P0,,,sosinu ,,,,,,,
ksuar,,,VT,,,manuvi 21,,,,,,,
ksuar,,,VUA,,,mejuti ,,,,,,,
kunu,,,VT,,,hojiso ,,,,,,,
kuri,,,VT_P0,,,hocobo ,,,,,,,
kutmi,,,VT_P0,,,retele ,,,,,,,
ma,,,VI,,,minewa ,,,,,,,
mai,,,VI,,,gisiwu ,,,,,,,
mana,,,VT,,,tawoqu ,,,,,,,
mao,,,,,,kavuqo ,,,,,,,
marai,,,VT_P0,,,tabupo ,,,,,,,
me,,,VI,,,hubena ,,,,,,,
meloan,,,VI,,,cubaqi ,,,,,,,
menai,,,VT_P1,,,zekupa ,,,,,,,
meon,,,VI,,,nahala ,,,,,,,
merean,,,VI,,,zepuqu ,,,,,,,
merun,,,VI,,,maweya ,,,,,,,
meul,,,V0Z,,,resori ,,,,,,,
meul,,,VI,,,nirunu ,,,,,,,
mi,,,VI,,,lukayu ,,,,,,,
mian,,,VI,,,nifuki ,,,,,,,
mine,,,VT,,,zovahi 21,,,,,,,
minui,,,VT,,,gajanu 21,,,,,,,
miore,,,VT,,,minora ,,,,,,,
miul,,,VI,,,fehuci ,,,,,,,
miun,,,VI,,,sevudo ,,,,,,,
mlial,,,VI,,,mepevi ,,,,,,,
mlial,,,V0Z,,,fogadi ,,,,,,,
mliel,,,VI,,,yibela ,,,,,,,
mliel,,,V0Z,,,bewahe ,,,,,,,
mo,,,VI,,,yilawu ,,,,,,,
mreli,,,VT_P0,,,muwuge ,,,,,,,
mua,,,VT_P0,,,ditosi ,,,,,,,
mue,,,VI,,,miruwa ,,,,,,,
mui,,,,,,zalego ,,,,,,,
mula,,,VUA,,,haqemu ,,,,,,,
mula,,,VT,,,dodozo ,,,,,,,
muli,,,VT_P1,,,fuyozi ,,,,,,,
munai,,,VT_P0,,,dapusi ,,,,,,,
mune,,,VT,,,zovahi ,,,,,,,
munoi,,,VT_P0,,,kukici ,,,,,,,
munui,,,VT_P0,,,pupepe ,,,,,,,
muri,,,VT_P1,,,lenihu ,,,,,,,
pafken,,,VI,,,guluna ,,,,,,,
pali,,,VT_P0,,,bavigo ,,,,,,,
pan,,,VI_va,,,qahama ,,,,,,,
pana,,,VT,,,mabezu ,,,,,,,
panal,,,VI,,,zowima ,,,,,,,
pani,,,VT_P0,,,soyenu ,,,,,,,
pcien,,,VI,,,hiwofe ,,,,,,,
pekmu,,,VT,,,wiyedi 21,,,,,,,
pena,,,VT,,,huvipa ,,,,,,,
pene,,,VT,,,dubepi ,,,,,,,
peni,,,VT,,,dequma 21,,,,,,,
penie,,,VT,,,puwomi 21,,,,,,,
peniu,,,VT,,,puwomi ,,,,,,,
peno,,,VT,,,dubepi 21,,,,,,,
penu,,,VT,,,huvipa 21,,,,,,,
peol,,,VI,,,wocaja ,,,,,,,
per,,,VI,,,jagoce ,,,,,,,
pere,,,VUA,,,wunudi ,,,,,,,
pere,,,VT,,,wunuji ,,,,,,,
pina,,,VT,,,lawena ,,,,,,,
pine,,,VT,,,bilari ,,,,,,,
pinie,,,VT,,,boriwa 21,,,,,,,
piniu,,,VT,,,boriwa ,,,,,,,
pino,,,VT,,,bilari 21,,,,,,,
pinu,,,VT,,,lawena 21,,,,,,,
plui,,,VT_P0,,,hacera ,,,,,,,
