"Lemma","Lemma Simplified","Discriminator","Pinyin","Pinyin Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological","notes"
"能","能",1,"néng",1,,,,,"zekupa ",,,,,,,,
"自己","自己",1,"zìjǐ",1,,,,,,"lonesome, number_one, own, ego, self, oneself, name ",,,,,,,
"至 ","至 ",,"zhì ",,,,,,,,,,,,,,
"臺灣 ","台湾 ",,"táiwān ",,,,,,,,,,,,,,
"與","与",1,"yǔ",1,,,,,,"and, together, with, give",,,,,,,
"若 ","若 ",,"ruò ",,,"Conj",,,,,,,,,,,
"著","着",1,"zhe",1,,"Aspect",,,,,,,,,,,
"萵苣",,,,,,"N",,,"zagari",,,,,,,,
"蘋果","苹果",1,"píngguǒ",,,"N",,"C個","nahala",,,,,,,,
"蛇",,,,,,"N",,,"kisudo",,,,,,,,
"蜂蜜",,,,,,"N",,,"wilawi",,,,,,,,
"蜂蠟",,,,,,"N",,,"zonoba",,,,,,,,
"蜜蠟",,,,,,"N",,,"zonoba",,,,,,,,
"蠟燭",,,,,,"N",,,"mobupa",,,,,,,,
"表示 ","表示 ",,"biǎoshì ",,,,,,,,,,,,,,
"被","被",1,"bèi",1,,,,,,"by",,,,,,,
"裡 ","里 ",,"lǐ ",,,"V",,,,,,,,,,,
"西葫蘆",,,,,,"N",,,"zumuva",,,,,,,,
"要","要",1,"yào",1,,"V",,,,"want; need; must; should",,,,,,,
"覺得 ","觉得 ",,"juéde ",,,"V",,,,,,,,,,,
"許多 ","许多 ",,"xǔduō ",,,,,,,,,,,,,,
"話 ","话 ",,"huà ",,,"N",,,,,,,,,,,
"該 ","该 ",,"gāi ",,,"D",,,,,,,,,,,
"認為 ","认为 ",,"rènwéi ",,,"V",,,,,,,,,,,
"認識",,,,,,"V",,"DO","ciboya",,,,,,,,
"說","说",1,"shuō",1,,"V",,"DO 給","daraki ",,,,,,,,
"說","说",2,"shuō",2,,"V",,"DO 給","sopaza",,,,,,,,
"請 ","请 ",,"qǐng ",,,"V",,,,,,,,,,,
"講 ","讲 ",,"jiǎng ",,,"N",,,,,,,,,,,
"讓 ","让 ",,"ràng ",,,,,,,,,,,,,,
"資料 ","资料 ",,"zīliào ",,,"N",,,,,,,,,,,
"資訊 ","资讯 ",,"zīxùn ",,,"N",,,,,,,,,,,
"走 ","走 ",,"zǒu ",,,"V",,,,,,,,,,,
"跟 ","跟 ",,"gēn ",,,,,,,,,,,,,,
"較 ","较 ",,"jiào ",,,,,,,,,,,,,,
"這","这",1,"zhè|zhèi",,,"D",,,"zukuye",,,,,,,,
"這些 ","这些 ",,"zhèxiē ",,,"D",,,,,,,,,,,
"這樣 ","这样 ",,"zhèyàng ",,,"Adv",,,,,,,,,,,
"造成 ","造成 ",,"zàochéng ",,,"V",,,,,,,,,,,
"進行 ","进行 ",,"jìnxíng ",,,,,,,,,,,,,,
"過 ","过 ",,"guò ",,,"Asp",,,,,,,,,,,
"還","还",1,"hái",1,,,,,,,,,,,,,
"那","那",1,"nà",1,,"D",,,"nelisi",,,,,,,,
"都","都",1,"dōu",1,,"Prt",,,,,,,,,,,
"酸奶",,,,,,"N",,,"cufogo",,,,,,,,
"重要 ","重要 ",,"zhòngyào ",,,,,,,,,,,,,,
"長蟲",,,,,,"N",,,"kisudo",,,,,,,,
"開始 ","开始 ",,"kāishǐ ",,,,,,,,,,,,,,
"關係 ","关系 ",,"guānxì ",,,,,,,,,,,,,,
"除了 ","除了 ",,"chúle ",,,"Prt",,,,,,,,,,,
"隻","只",1,"zhī",1,,"CL",,,,,,,,,,,
"雖然 ","虽然 ",,"suīrán ",,,"Conj",,,,,,,,,,,
"電磁炮",,,,,,"N",,,"cawetu",,,,,,,,
"電腦",,,,,,"N",,,"futeyu",,,,,,,,
"電腦 ","电脑 ",,"diànnǎo ",,,,,,,,,,,,,,
"需要 ","需要 ",,"xūyào ",,,"V",,,,,,,,,,,
"非常 ","非常 ",,"fēicháng ",,,,,,,,,,,,,,
"面包",,,,,,"N",,,"hiwofe",,,,,,,,
"項 ","项 ",,"xiàng ",,,,,,,,,,,,,,
"顆","颗",1,"kē",,,"CL",,,,,,,,,,,
"馬","马",1,"mǎ",1,,"N",,"C匹","qibawe",,,,,,,,
"骨","骨",,"gǔ",,,"N",,,"hobewe",,,,,,,,
"骨質",,,,,,"N",,,"tamoya",,,,,,,,
"骨頭",,,,,,"N",,,"tamoya",,,,,,,,
"骨頭",,,,,,"N",,,"hobewe",,,,,,,,
"高 ","高 ",,"gāo ",,,,,,,,,,,,,,
"鬣狗",,,,,,"N",,,"nulofa",,,,,,,,
"魚","鱼",,"yú",,,,,,"buzote",,,,,,,,
"鰐",,,,,,"N",,,"lekuri",,,,,,,,
"鱷魚",,,,,,"N",,,"lekuri",,,,,,,,
"𲎿","𲎿",1,"tā",1,,"PRO",,,,,,,,,,,
