"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"mbwa",,,"N",,"C9","yobanu ",,,,,,,
"mdogo",,,,,,,,,,,,,
"mechi",,,,,,,,,,,,,
"meli",,,,,,,,,,,,,
"mengi",,,,,,,,,,,,,
"mengine",,,,,,,,,,,,,
"meza",,,"N",,"C9","yohaye ",,,,,,,
"mfalme",,,,,,,,,,,,,
"mfano",,,,,,,,,,,,,
"mfululizo",,,,,,,,,,,,,
"mfumo",,,,,,,,,,,,,
"mfupa",1,,"N",,"C3","hobewe ",,,,,,,
"mfupa",2,,"N",,"C3","tamoya ",,,,,,,
"mi-",,,"PF",,"NC PreC C3 PL",,,,,,,,
"miaka",,,,,,,,,,,,,
"miezi",,,,,,,,,,,,,
"miji",,,,,,,,,,,,,
"milioni",,,,,,,,,,,,,
"mimea",,,,,,,,,,,,,
"mingi",,,,,,,,,,,,,
"Misri",,,,,,,,,,,,,
"mita",1,,"N",,"C9",,"meter",,,,,,
"miwili",,,,,,,,,,,,,
"mji",1,,"N",,"C3",,"city, town",,,,,,
"mjini",,,,,,,,,,,,,
"mkoa",1,,"N",,"C3",,"region",,,,,,
"mkuki",1,,"N",,"C3","luhepi","spear",,,,,,
"mkuu",1,,"N",,"C1",,"director, chief",,,,,,
"mlima",1,,"N",,"C3","pobufe ","mountain",,,,,,
"mnamo",1,,"AV",,,,"approximately",,,,,,
"mnamo",2,,"AV P",,,,"in (timespan)",,,,,,
"mno",1,,"AM",,,"soturu","very",,,,,,
"mno",2,,"AM",,,,"excessively",,,,,,
"mno",3,,"AM",,,,"unusually",,,,,,
"moyo",1,,"N",,"C3","cizehu","heart",,,,,,
"moyo",2,,"N",,"C3",,"feeling",,,,,,
"moyo",3,,"N",,"C3",,"character (personality?)",,,,,,
"moyo",4,,"N",,"C3",,"courage",,,,,,
"mpaka",1,,"P",,,,"until, up to",,,,,,
"mpaka",2,,"N",,"C3",,"border, boundary",,,,,,
"mpango",1,,"N",,"C3",,"plan, project",,,,,,
"mpya",,,,,,,,,,,,,
"mrefu",,,,,,,,,,,,,
"mshumaa",,,"N",,"C3","mobupa ",,,,,,,
"msimu",,,,,,,,,,,,,
"msingi",,,,,,,,,,,,,
"mti",,,"N",,"C3","tiliva ",,,,,,,
"mto",,,,,,,,,,,,,
"Mto",,,,,,,,,,,,,
"mtoto",,,,,,,,,,,,,
"mtu",,,"N",,"C1",,"person ⁓ human",,,,,,
"muda",,,,,,,,,,,,,
"muhimu",,,,,,,,,,,,,
"mujibu",,,,,,,,,,,,,
"Mungu",,,,,,,,,,,,,
"muziki",,,,,,,,,,,,,
"mvua",,,,,,,,,,,,,
"mw-",,,"PF",,"NC PreV C1 SG",,,,,,,,
"mw-",,,"PF",,"NC PreV C3 SG",,,,,,,,
"mwaka",,,"N","★","C3",,"year",,,,,,
"mwanzo",1,,"N",,"C3",,"beginning",,,,,,
"mwendo",1,,"N",,"C3",,"behavior, conduct",,,,,,
"mwezi",1,,"N",,"C3",,"month",,,,,,
"mwezi",2,,"N",,"C3",,"moon",,,,,,
"mwili",1,,"N",,"C3",,"body",,,,,,
"mwingine",,,,,,,,,,,,,
"mwisho",,,,,,,,,,,,,
"my-",,,"PF",,"NC PreV C3 PL",,,,,,,,
"n-",,,"PF",,"NC Prelingual C9",,,,,,,,
"na",,,"Prt",,,,,,,,,,
"nafasi",,,,,,,,,,,,,
"namba",,,,,,,,,,,,,
"namna",,,,,,,,,,,,,
"nane",,,"Num",,,"yogemi ",,,,,,,
"naye",,,,,,,,,,,,,
"nchini",,,"AV",,,,"in the country/land",,,,,,
"ndani",,,"AV P",,,,"within",,,,,,
"ndani ya",,,"P",,,,"inside of",,,,,,
"ndege",,,,,,,,,,,,,
"ndio",,,,,,,,,,,,,
"ndiyo",,,,,,,,,,,,,
"ndogo",,,,,,,,,,,,,
"ndugu",,,,,,,,,,,,,
"neno",1,,"N",,"C5",,"word",,,,,,
"neno",2,,"N",,"C5",,"utterance",,,,,,
"ngao",,,"N",,"C9","fahazu","shield",,,,,,
"nguvu",,,,,,,,,,,,,
"ngwena",,,"N",,"C9","lekuri ",,,,,,,
"ni",,,"Cop",,,,,,,,,,
"nje",,,,,,,,,,,,,
"njia",1,,"N",,"C9",,"road, path",,,,,,
"nne",1,,"Num",,,"punuza ","four",,,,,,
"nne",2,,"AN",,,,"four",,,,,,
"nondo",,,,,,"milana ",,,,,,,
"Novemba",,,,,,,,,,,,,
"ny-",,,"PF",,"NC PreV C9",,,,,,,,
"nyekundu",,,,,,"kukewo ",,,,,,,
"nyingine",,,,,,,,,,,,,
"nyoka",,,"N",,"C9","kisudo ",,,,,,,
"nyuki",,,"N",,"C9","zayami ",,,,,,,
"nyuma",,,,,,,,,,,,,
"nyumba",,,,,,,,,,,,,
"nyumbani",,,,,,,,,,,,,
"Oktoba",,,,,,,,,,,,,
"p-",,,"PF",,"D-concord C16",,,,,,,,
"pa",,,,,,,,,,,,,
"pahali",,,"N",,"C16 No-plural",,"place, location",,,,,,
"paka",,,"N",,"C9","fufuki ",,,,,,,
"pamoja",,,"AV",,,,"together",,,,,,
"papa",,,"N",,"C9 AN","zoriju ","shark",,,,,,
"pekee",,,,,,,,,,,,,
"pia",1,,"Foc",,,,"also",,,,,,
"pia",2,,"N",,"C9",,"cone",,,,,,
"pia",3,,"N",,"C9",,"spool, reel",,,,,,
"picha",,,,,,,,,,,,,
"pili",1,,"Num",,,,"two",,,,,,
"pili",2,,"AV",,,,"second(ly)?",,,,,,
"pombe",,,,,,,,,,,,,
"pomboo",,,"N",,"C9","defuyi ",,,,,,,
"pwani",,,"N",,"C9 IN","qujono ",,,,,,,
"rais",1,,"N",,"C5 AN",,"president",,,,,,
"rangi",,,,,,,,,,,,,
"rasmi",,,,,,,,,,,,,
"Roma",,,,,,,,,,,,,
"saba",,,"Num",,,"kizinu ",,,,,,,
"sababu",,,"N",,"C9",,"reason, cause",,,,,,
"saladi",,,"N",,"C9","zagari ",,,,,,,
"sana",,,"AM",,,"soturu","very",,,,,,
"sasa",1,,"AV",,,,"now",,,,,,
"sasa",2,,"AV",,,,"“well,”",,,,,,
"sasa",3,"Sheng","AV",,,,"what’s up?",,,,,,
"sasa",4,,"N",,"C5",,"bird’s nest",,,,,,
"sasa hivi",1,,"AV",,,,"right now",,,,,,
"sauti",,,,,,,,,,,,,
"sawa",,,,,,,,,,,,,
"sehemu",1,,"N",,"C9",,"part, fraction, section",,,,,,
"sehemu",2,,"N",,"C9",,"region, district",,,,,,
"seli",1,,"N",,"C9","majopo","biological cell",,,,,,
"sensa",,,,,,,,,,,,,
"serikali",,,,,,,,,,,,,
"sheria",,,,,,,,,,,,,
"shirika",,,,,,,,,,,,,
"Shirika",,,,,,,,,,,,,
"shughuli",,,,,,,,,,,,,
"shule",,,,,,,,,,,,,
"si",,,,,,,,,,,,,
"siasa",1,,"AV",,,,"carefully",,,,,,
"siasa",2,,"N",,"C9",,"politics",,,,,,
"siasa",3,,"N",,"C9",,"policy",,,,,,
"siasa",4,,"N",,"C9",,"carefulness",,,,,,
"sifa",1,,"N",,"C9",,"praise",,,,,,
"sifa",2,,"N",,"C9",,"recommendation",,,,,,
"sifa",3,,"N",,"C9",,"qualifications",,,,,,
"sifa",4,,"N",,"C9",,"charasteristic, property",,,,,,
"siku",1,,"N",,"C9",,"day",,,,,,
"siku hizi",1,,"N",,"C9",,"nowadays",,,,,,
"siku kwa siku",1,,"N",,"C9",,"from day to day",,,,,,
"siku ya uzalishi",1,,"N",,"C9",,"birthday",,,,,,
"siku zote",1,,"N",,"C9",,"always",,,,,,
"sita",1,,"Num",,,"kumozi ",,,,,,,
"spishi",,,,,,,,,,,,,
"tabia",,,,,,,,,,,,,
"taifa",,,,,,,,,,,,,
"takriban",,,,,,,,,,,,,
"tangu",,,,,,,,,,,,,
"Tangu",,,,,,,,,,,,,
"tano",,,"Num",,,"zohoki ",,,,,,,
"Tanzania",,,,,,,,,,,,,
"tar.",,,,,,,,,,,,,
"tarakilishi",,,"N",,"C9","futeyu ",,,,,,,
"tarehe",,,,,,,,,,,,,
"tatu",,,"Num",,,"royomi ",,,,,,,
"tayari",,,,,,,,,,,,,
"tena",,,,,,,,,,,,,
"the",,,,,,,,,,,,,
"timu",,,,,,,,,,,,,
"tofaa",,,"N",,"C5","nahala ",,,,,,,
"tofauti",,,,,,,,,,,,,
