Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
kulak kiri,,,N,,,vobako ,,,,,,,
kum,,,N,,,cicuva ,,,,,,,
kumanda,,,N,,,vijeda ,,,,,,,
kumpir,,,N,,,teduti ,,,,,,,
kurt,,,N,,,kewabe ,,,,,,,
kus,,,VT,,,gawobo ,,,,,,,
kutla,,,VT,,,wuwoga ,,,,,,,
kutu,,,N,,,meluyo ,,,,,,,
kâbus,,,N,,,yazolu ,,,,,,,
kâse,,,N,,,busiba ,,,,,,,
kâğıt,,,N,,,ditifu ,,,,,,,
kök,,,N,,,diceva ,,,,,,,
kömür,,,N,,,keyobu ,,,,,,,
köpek,,,N,,,yobanu ,,,,,,,
köprü,,,N,,,zoviqa ,,,,,,,
kükürt,,,N,,,bidevo ,,,,,,,
küme,,,N,,,vazuji ,,,,,,,
küp,,,N,,,jutiru ,,,,,,,
kılıç,,,N,,,watuta ,,,,,,,
kırmızı,,,,,,kukewo ,,,,,,,
kısır,,,N,,,wumoro ,,,,,,,
kıyafet,,,N,,,fugahu ,,,,,,,
lama,,,N,,,garahi ,,,,,,,
lamba,,,N,,,guhaqu ,,,,,,,
lemur,,,N,,,guvucu ,,,,,,,
lenfosit,,,NU,,,wegunu ,,,,,,,
leopar,,,N,,,lafeqe ,,,,,,,
levye,,,N,,,vesaci ,,,,,,,
lityum,,,N,,,yalisu ,,,,,,,
magnezyum,,,N,,,cahugi ,,,,,,,
makas,,,N,,,lesodi ,,,,,,,
makina,,,N,,,zabuqo ,,,,,,,
manganez,,,N,,,matuke ,,,,,,,
mantık,,,N,,,fijuqi ,,,,,,,
marul,,,N,,,zagari ,,,,,,,
masa,,,N,,,yohaye ,,,,,,,
maske,,,N,,,voyofo ,,,,,,,
mavi,,,AN,,,jayina ,,,,,,,
mektup,,,N,,,jewuve ,,,,,,,
meme,,,N,,,vuniri ,,,,,,,
memeli,,,N,,,wohuti ,,,,,,,
menemen,,,N,,,cimafe ,,,,,,,
menteşe,,,N,,,nomife ,,,,,,,
merdiven,,,N,,,worino ,,,,,,,
merdiven,,,N,,,pulara ,,,,,,,
metal,,,N,,,bibana ,,,,,,,
meyve,,,N,,,gufoja ,,,,,,,
minik,,,AN,,,bediri ,,,,,,,
mobilya,,,N,,,nekibu ,,,,,,,
muallim,,,N,,,ciwibe ,,,,,,,
mukavva,,,N,,,cipiqa ,,,,,,,
mum,,,N,,,wapube ,,,,,,,
mum,,,N,,,mobupa ,,,,,,,
muz,,,N,,,niyiri ,,,,,,,
mümkün,,,AN,,,wipiyo ,,,,,,,
neon,,,N,,,ticula ,,,,,,,
nikel,,,N,,,nizako ,,,,,,,
nokta,,,N,,,zadozi ,,,,,,,
nötron,,,N,,,ziwuvo ,,,,,,,
nükleik asit,,,N,,,fuyove ,,,,,,,
ok,,,N,,,bonete ,,,,,,,
oksijen,,,N,,,veqile ,,,,,,,
ol,,,VI,,,dosoko ,,,,,,,
on,,,AN,,,lebuku ,,,,,,,
on bin,,,N,,,toluko ,,,,,,,
on bir,,,AN,,,towozi ,,,,,,,
ontoloji,,,N,,,cazube ,,,,,,,
orman,,,N,,,suhiwe ,,,,,,,
orman,,,N,,,voqibu ,,,,,,,
otobur,,,N,,,beyuno ,,,,,,,
otobüs,,,N,,,rajola ,,,,,,,
oyuncak,,,N,,,badiqo ,,,,,,,
ozon,,,N,,,yoweco ,,,,,,,
palyaço,,,N,,,pamaca ,,,,,,,
pamuk,,,N,,,peqivo ,,,,,,,
pantolon,,,N,,,johoqi ,,,,,,,
pantolon,,,N,,,fehuci ,,,,,,,
parlak,,,AN,,,zapeya ,,,,,,,
parmak,,,N,,,fenube ,,,,,,,
pas,,,N,,,tebivi ,,,,,,,
pasta,,,N,,,higovu ,,,,,,,
patates,,,N,,,guluna ,,,,,,,
patla,,,VI,,,papaku ,,,,,,,
patlayıcı,,,N,,,wovuyu ,,,,,,,
pazar,,,N,,,kilesi ,,,,,,,
pazartesi,,,N,,,luzuhe ,,,,,,,
pencere,,,N,,,yoyoba ,,,,,,,
penis,,,N,,,lobuze ,,,,,,,
pençe,,,N,,,cakuqo ,,,,,,,
perşembe,,,N,,,fiberi ,,,,,,,
petrol,,,N,,,wolopa ,,,,,,,
peynir,,,N,,,dimeku ,,,,,,,
peçete,,,N,,,qowibi ,,,,,,,
pi,,,N,,,kuyale ,,,,,,,
pide,,,N,,,vikera ,,,,,,,
pijama,,,N,,,rapika ,,,,,,,
pirinç,,,N,,,belaya ,,,,,,,
pizza,,,N,,,hogebu ,,,,,,,
plastik,,,N,,,giyedo ,,,,,,,
plazma,,,N,,,qudoje ,,,,,,,
polen,,,N,,,delene ,,,,,,,
potasyum,,,N,,,neyule ,,,,,,,
prens,,,N,,,nudeni ,,,,,,,
prenses,,,N,,,nisiju ,,,,,,,
primat,,,N,,,fesayu ,,,,,,,
proton,,,N,,,sodabu ,,,,,,,
psikiyatri,,,N,,,focaki ,,,,,,,
puma,,,N,,,hegilo ,,,,,,,
rakun,,,N,,,tarike ,,,,,,,
rakı,,,N,,,fiweli ,,,,,,,
rasyonel sayı,,,N,,,beneye ,,,,,,,
reel sayı,,,N,,,biqoka ,,,,,,,
robot,,,N,,,qiyimu ,,,,,,,
rüya,,,N,,,vujoba ,,,,,,,
saat,,,N,,,birila ,,,,,,,
saat,,,N,,,busizu ,,,,,,,
safra,,,N,,,napufe ,,,,,,,
sahip ol,,,VT,,,yoguwo ,,,,,,,
sakal,,,N,,,qimeri ,,,,,,,
sake,,,N,,,kehuna ,,,,,,,
salatalık,,,N,,,dajuba ,,,,,,,
saldır,,,VT,,,vutiko ,,,,,,,
salya,,,N,,,gekoto ,,,,,,,
salı,,,N,,,qeyawe ,,,,,,,
samuray,,,N,,,qotizi ,,,,,,,
sandalye,,,N,,,zunoko ,,,,,,,
satranç,,,N,,,tonehi ,,,,,,,
sayfa,,,N,,,raweje ,,,,,,,
sayı,,,N,,,sakipe ,,,,,,,
saç,,,N,,,howice ,,,,,,,
sebep ol,,,VT,,,yajana ,,,,,,,
sekiz,,,AN,,,taqihe ,,,,,,,
sekizey,,,N,,,tibaqe ,,,,,,,
sekizgen,,,N,,,qolace ,,,,,,,
sekizgen,,,N,,,caliso ,,,,,,,
sel,,,N,,,mogiqu ,,,,,,,
selenyum,,,N,,,nucuvu ,,,,,,,
serumen,,,N,,,vobako ,,,,,,,
ses,,,N,,,zuqapi ,,,,,,,
seçenek,,,N,,,cemara ,,,,,,,
sigara,,,N,,,jadadi ,,,,,,,
silah,,,N,,,pizufe ,,,,,,,
silikon,,,N,,,dodize ,,,,,,,
silisyum,,,N,,,dodize ,,,,,,,
simya,,,N,,,higaro ,,,,,,,
