"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"tiempo",,,"N",,"M",,,,,,,,
"tipo",,,"N",,"M",,,,,,,,
"todavía",,,"AV",,,,,,,,,,
"todo",,,"D",,,,,,,,,,
"tomato",,,"N",,"M","yodava ",,,,,,,
"torso",,,"N",,"M","lukaso ",,,,,,,
"trabajar",,,"V",,,,,,,,,,
"trabajo",,,"N",,"M",,,,,,,,
"tres",,,"Num",,,,,,,,,,
"tu",1,,"D",,,,,,,,,,
"tú",1,,"SubjPro",,,,,,,,,,
"un",,,"D",,"M",,,,,,,,
"una",,,"D",,"F",,,,,,,,
"uno",,,,,,,,,,,,,
"usted",,,,,,,,,,,,,
"vaca",,,"N",,"F","nivawa ",,,,,,,
"vela",,,"N",,"F","mobupa ",,,,,,,
"venir",,,"V",,,,,,,,,,
"ver",1,,"V",,"DO","zapiyo ",,,,,,,
"verdad",,,"N",,"F",,,,,,,,
"verde",,,"AN",,,"ralija ",,,,,,,
"vez",,,"N",,"F",,,,,,,,
"vida",,,"N",,"F",,,,,,,,
"viej-",,,"AN",,,,,,,,,,
"viernes",,,"N",,"M","rasule ",,,,,,,
"viviente",,,"AN",,,"yogije ",,,,,,,
"vivir",,,"V",,,"yogije ",,,,,,,
"vivo",,,"AN",,,"yogije ",,,,,,,
"volar",,,"V",,,"zeduyu ",,,,,,,
"y",1,,"NCOO",,,"nawulu ",,,,,,,
"y",2,,"COO",,,"talage ",,,,,,,
"ya",,,"Adv",,,,,,,,,,
"yo",,,"SubjPro",,,"lukayu ",,,,,,,
"yogur",,,"N",,"M","cufogo ",,,,,,,
"yogurt",,,"N",,"M","cufogo ",,,,,,,
"zanahoria",,,"N",,"F","morocu ",,,,,,,
"zapallo",,,"N",,"M","zihowi ",,,,,,,
