"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"cloaca",,,"N",,,"mekoda ",,,,,,,
"clock",,,"N",,,"busizu ",,,,,,,
"cloth",,,"N",,,"fugahu ",,,,,,,
"clothing",,,"N",,,"fugahu ",,,,,,,
"cloud",,,"N",,,"noneyi ",,,,,,,
"clown",,,"N",,,"pamaca ",,,,,,,
"CMU",,,"N",,,"wafagu ",,,,,,,
"coal",,,"NU",,,"keyobu ",,,,,,,
"coast",,,"N",,,"qujono ",,,,,,,
"coat",,,"N",,,"galepo ",,,,,,,
"cobalt",,,"NU",,,"gocuno ",,,,,,,
"coffee",,,"N",,,"dopema ",,,,,,,
"cogwheel",,,"N",,,"piyapu ",,,,,,,
"collapse",,,"V",,"DO","jufowi ",,,,,,,
"collect",,,"V",,"DO at","doromu ",,,,,,,
"colorless",,,"AN",,,"witehu ",,,,,,,
"comb",,,"N",,,"biruso ",,,,,,,
"come",,,"V",,"to",,,,,,,,
"command",,,"V",,"DO to+INF","bedewu ",,,,,,,
"common",,,,,,"tefehu ",,,,,,,
"communicate",,,"V",,"DO to","suyepu ",,,,,,,
"communicate",,,"V",,"DO with about","seqabe ",,,,,,,
"community",,,"N",,,"maropa ",,,,,,,
"compare",,,"V",,"DO with","tajohi ",,,,,,,
"complete",,,"AN",,,"ruyuti ",,,,,,,
"complex number",,,"N",,,"vuquya ",,,,,,,
"computer",,,"N",,,"futeyu ",,,,,,,
"concrete block",,,"N",,,"wafagu ",,,,,,,
"concrete masonry unit",,,"N",,,"wafagu ",,,,,,,
"cons",,,,,,"jukezi ",,,,,,,
"container",,,"N",,,"mipihu ",,,,,,,
"continent",,,"N",,,"kimece ",,,,,,,
"continental shelf",,,"N",,,"cobawo ",,,,,,,
"control",1,,"V",,"DO","pocofe ",,,,,,,
"convinced",,,"AN",,"of|that","wejufu ",,,,,,,
"cook",,,"V",,"DO","visale ",,,,,,,
"copper",,,"NU",,,"muyulo ",,,,,,,
"corner",,,"N",,,"getaru ",,,,,,,
"coronavirus",,,"N",,,"cesalo ",,,,,,,
"cost",,,"V",,"DO","sanoti ",,,,,,,
"cotton",,,"NU",,,"peqivo ",,,,,,,
"cougar",,,"N",,,"hegilo ",,,,,,,
"cough",,,"V",,,"pasoge ",,,,,,,
"could",,,"AUX",,,,,,,,,,
"country",,,"N",,,"jitoke ",,,,,,,
"courgette",,,"N",,,"zumuva @UK",,,,,,,
"cover",,,"V",,"DO","hufuni ",,,,,,,
"coyote",,,"N",,,"siyece ",,,,,,,
"crane",,,"N",,,"rahifa ",,,,,,,
"crate",,,"N",,,"coyete ",,,,,,,
"crawl",,,"V",,,"bubuja ",,,,,,,
"credulous",,,"AN",,,"hewoqo ",,,,,,,
"crocodile",,,"N",,,"lekuri ",,,,,,,
"cross",,,"V",,"DO","vinajo ",,,,,,,
"crowbar",,,"N",,,"vesaci ",,,,,,,
"crown",,,"N",,,"ciqini ",,,,,,,
"crush",,,"V",,"DO","bovazo ",,,,,,,
"crustacean",,,"N",,,"sigivi ",,,,,,,
"cry",1,,"V",,"DO","vigofo ",,,,,,,
"cucumber",,,"N",,,"dajuba ",,,,,,,
"culture",,,"N",,"of","negewo 21",,,,,,,
"cup",,,"N",,,"qeveva ",,,,,,,
"cushion",,,"V",,"DO","talawu ",,,,,,,
"cushion",,,"V",,"DO","tidezu ",,,,,,,
"custom",,,"N",,"of","negewo 21",,,,,,,
"cut",,,"V",,"DO into","repuji ",,,,,,,
"cyan",,,"AN",,,"fefaze ",,,,,,,
"cyclone",,,"N",,,"nikegi ",,,,,,,
"dad",,,"N",,,"nucule ",,,,,,,
"daddy",,,"N",,,"nucule ",,,,,,,
"dam",,,"N",,,"gokeda ",,,,,,,
"damp",,,"AN",,,"kupaka ",,,,,,,
"dare",,,"V",,"INF","mawudu ",,,,,,,
"data",,,"N",,,"zorubi ",,,,,,,
"daughter",,,"N",,"of","buwele ",,,,,,,
"dawn",,,"N",,,"rutapi ",,,,,,,
"day",3,,"N",,,"leqilu ","numeric duration of a standard day",,,,,,
"day",1,,"N",,,"tayuqi ",,,,,,,
"day",2,,"N",,,"yulele ","a time period corresponding to a standard day in duration",,,,,,
"dead",,,"AN",,,"hutavu ",,,,,,,
"dead",,,"AN",,,"miqimi ",,,,,,,
"decay",,,"V",,,"moqubi ",,,,,,,
"decay",,,"V",,,"nohujo ",,,,,,,
"decide",,,"V",,"DO","vumedu ",,,,,,,
"decide",,,"V",,"DO","qijuki ",,,,,,,
"deconstruct",,,"V",,"DO","kagala ",,,,,,,
"deer",,,"N",,,"zaqidi ",,,,,,,
"defecate",,,"V",,"DO","himaho ",,,,,,,
"descendant","N1",,"N",,"of","higiwe 21",,,,,,,
"desert",,,"N",,,"fahobo ",,,,,,,
"deserve",,,,,,"vijica ",,,,,,,
"design",,,"V",,"DO","memoku ",,,,,,,
"desire",,,"V",,"DO","feyibi ",,,,,,,
"desk",,,"N",,,"rayema ",,,,,,,
"dew",,,"N",,,"lufuha ",,,,,,,
"diamond",,,"NU",,,"qeyuwi ",,,,,,,
"dice",,,"N",,,"hewizo ",,,,,,,
"didgeridoo",,,"N",,,"yoturo ",,,,,,,
"die",,,"N",,,"hewizo ",,,,,,,
"die",,,"V",,,"focevi ",,,,,,,
"differ",,,"V",,"from in","govofu ",,,,,,,
"different",,,"AN",,"from₁^other","yeyepa ",,,,,,,
"dig",,,"V",,"DO in","hugoma ",,,,,,,
"digest",,,"V",,"DO","buliki ",,,,,,,
"digitigrade",,,"N",,,"mokola ",,,,,,,
"digitigrade",,,"AN",,,"mokola ",,,,,,,
"diptere",,,"N",,,"zijiku ",,,,,,,
"disapprove",,,"V",,"DO","fasezo ",,,,,,,
"disassemble",,,"V",,"DO","kagala ",,,,,,,
"discard",,,"V",,"DO","latusu ",,,,,,,
"discover",,,"V",,"DO","pecoce ",,,,,,,
"discuss",,,"V",,"DO","ratoce ",,,,,,,
"disgusted",,,"PPRT",,,"buhedu ",,,,,,,
"dissolve",,,"V",,"in","pitiku ",,,,,,,
"dive",,,"V",,,"guqita ",,,,,,,
"do",,,"V",,"DO","tubano ",,,,,,,
"do yoga",,,"N",,,"kitume ",,,,,,,
"doctor",,,"V",,"DO","fonigo ",,,,,,,
"dog",,,"N",,,"yobanu ",,,,,,,
"dolphin",,,"N",,,"defuyi ",,,,,,,
"donkey",,,"N",,,"podaqa ",,,,,,,
"door",,,"N",,,"kunida ",,,,,,,
"doorway",,,"N",,,"miyawa ",,,,,,,
"doubt",,,"V",,"DO","kovutu ",,,,,,,
"dough",,,"NU",,,"wogutu ",,,,,,,
"download",,,"V",,"DO from","zatide ",,,,,,,
"downriver",,,"AV",,,"sowuwa ",,,,,,,
"dragon",,,"N",,,"zimoke ",,,,,,,
"draw",,,"V",,"DO on","joboyi ",,,,,,,
"drawer",,,"N",,,"lumayu ",,,,,,,
"dream",,,"V",,"DO","kahabi ",,,,,,,
"dream",,,"N",,,"vujoba ",,,,,,,
"dress",,,"N",,,"fugahu ",,,,,,,
"drill","N1",,"N",,,"fusiha ",,,,,,,
"drink",,,"V",,"DO","cewide ",,,,,,,
"drum",,,"N",,,"bohute ",,,,,,,
"dune",,,"N",,,"veteju ",,,,,,,
"early",,,"AN",,,"narafe ",,,,,,,
"earnest",,,"AN",,,"lehoma ",,,,,,,
"earwax",,,"NU",,,"vobako ",,,,,,,
"eat",,,"V",,"DO","qayiho ",,,,,,,
"edible",,,"AN",,"for","cucogo ",,,,,,,
"eel",,,"N",,,"bapili ",,,,,,,
"egg",,,"N",,,"fuqilo ",,,,,,,
"Egypt",,,"Name",,,"femari ",,,,,,,
"eight",,,"AN",,,"taqihe ",,,,,,,
"electric charge",,,"N",,"of","kuleja 21",,,,,,,
"elephant",,,"N",,,"berape ",,,,,,,
"eleven",,,"AN",,,"towozi ",,,,,,,
"elm",,,"N",,,"tejaju ",,,,,,,
"embryo",,,"N",,,"kiboku ",,,,,,,
"embryo₁",,,"N",,,"gotana ",,,,,,,
"embryo₂",,,"N",,,"sanawa ",,,,,,,
"emotion,",,,,,,"hojiso feel",,,,,,,
"emphasize",,,"V",,"DO","jotike ",,,,,,,
"empty",,,"V",,"DO","senona ",,,,,,,
"endow",,,"V",,"DO with","behucu ",,,,,,,
"England",,,"Name",,,"suqadi ",,,,,,,
"enjoy",,,"V",,"DO","roqabu ",,,,,,,
"entail",,,"V",,"DO","lusoku ",,,,,,,
"enzyme",,,"N",,,"lawigu ",,,,,,,
"erupt",,,"V",,,"vufupe ",,,,,,,
"escape",,,"V",,"DO","nokabu ",,,,,,,
"escape",,,"V",,"from","nokabu ",,,,,,,
"esteem",,,"V",,"DO","himusu ",,,,,,,
"esteem",,,"V",,"DO","qiqifu ",,,,,,,
"ET",,,"N",,,"yujeyu ",,,,,,,
"eternal",,,"AN",,,"pigetu ",,,,,,,
"eukaryote",,,"N",,,"fuvuna ",,,,,,,
"Euler's number",,,"N",,,"vibase ",,,,,,,
"Eurasia",,,"Name",,,"jeweno ",,,,,,,
"Eurasia",,,"Name",,,"tuvuha ",,,,,,,
"Europe",,,"N",,,"jalaki ",,,,,,,
"Europe",,,"Name",,,"lakuke ",,,,,,,
"evaporate",,,"V",,,"yegali ",,,,,,,
"even",,,"FOC",,,"lowaza ",,,,,,,
"evening",,,"N",,,"hadala ",,,,,,,
"everything",,,,,,"hapawe ",,,,,,,
"excrement",,,"N",,,"mefaki ",,,,,,,
"excrete",,,"V",,"DO","tuqezo ",,,,,,,
"exist",,,,,,"tiragu ",,,,,,,
"exoskeleton",,,"N₂",,,"rurawa ",,,,,,,
"expectorate",,,"V",,"DO","rabage ",,,,,,,
"expensive",,,"AN",,,"racago ",,,,,,,
"explain",,,"V",,"DO to","zaqoke ",,,,,,,
"explode",,,"V",,,"papaku ",,,,,,,
"explore",,,"V",,"DO","pahemo ",,,,,,,
"extinct",,,"AN",,,"sowoma ",,,,,,,
"extraterrestrial",,,"N",,,"yujeyu ",,,,,,,
"eyeglasses",,,"NPL",,,"zivumo ",,,,,,,
"face",,,"N",,,"culuke ",,,,,,,
"faeces",,,"N",,,"mefaki ",,,,,,,
"false",1,,"AN",,,"maruhe ",,,,,,,
"family",,,"N",,,"morudo ",,,,,,,
"fan",,,"N",,,"suhifu ",,,,,,,
"fang",,,"N",,,"noriwi ",,,,,,,
"farmhouse",,,"N",,,"rufufa ",,,,,,,
"fast",,,"AN",,,"denovo ",,,,,,,
"fast",,,"AN",,,"memaku ",,,,,,,
"father",,,"N",,"of","selaci ",,,,,,,
"fear",,,"V",,"DO","dumuku ",,,,,,,
"feather",,,"N",,,"lideyo ",,,,,,,
"feeble",,,"AN",,,"nomiwu ",,,,,,,
"feed",,,"V",,"DO with","pajane ",,,,,,,
"feed",,,"V",,"DO to","pajane 132",,,,,,,
"feel like",,,"V",,"DO GER","berame ",,,,,,,
"female",,,"N",,,"viriko ",,,,,,,
"female",,,"AN",,,"viriko ",,,,,,,
"fennec",,,"N",,,"momute ",,,,,,,
"fertile",,,"AN",,,"diyolu ",,,,,,,
"fertile",,,"N",,,"yapune ",,,,,,,
"fetus",,,"N",,,"figowa ",,,,,,,
"few",,,"AN",,,"niyipa ",,,,,,,
"few",,,"AN",,,"divipe ",,,,,,,
"fig",,,"N",,,"gebuyo ",,,,,,,
"fight",,,"V",,"DO","qifesi ",,,,,,,
"fill",,,"V",,"DO with","pugafe ",,,,,,,
"fin",,,"N",,,"hativu ",,,,,,,
"finger",,,"N",,,"yiquvo ",,,,,,,
"fire",,,"N",,,"jaqare ",,,,,,,
"first",,,"AN",,"in","lihewe 21",,,,,,,
"fish",,,"N",,,"buzote ",,,,,,,
"fish",,,"V",,"DO","legayi ",,,,,,,
"five",,,"AN",,,"kuyope ",,,,,,,
"flag",,,"N",,,"rozase ",,,,,,,
"flame",,,"N",,,"jenuwi ",,,,,,,
"flame",,,"N",,,"muceni ",,,,,,,
"flesh",,,"N",,,"koyeso ",,,,,,,
"flood",,,"V",,"DO","mogiqu ",,,,,,,
"floor",1,,"N",,,"fosuhu ",,,,,,,
"flour",,,"NU",,,"bopevo ",,,,,,,
"flow",,,"V",,,"danake ",,,,,,,
"flower",,,"N",,,"pazuti ",,,,,,,
"flower",,,"V",,,"meridu ",,,,,,,
"fluorine",,,"NU",,,"behiqi ",,,,,,,
"flute",,,"N",,,"sifana ",,,,,,,
"fly",,,"N",,,"zijiku ",,,,,,,
